corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
레브잇,올웨이즈,모바일 초저가 커머스 플랫폼 '올웨이즈'를 운영하는 기업,series B,853.0억원,-,85,"커머스, 푸드/농업이커머스, 리뷰, 신선식품, 가공식품, 리워드"
두잇,두잇,팀매칭 배달앱 '두잇'을 운영하는 기업,seed,26.0억원,99.9억원,47,"물류, 푸드/농업배송, 배달, B2C, 플랫폼/마켓플레이스, APP, WEB"
짐캐리,짐캐리,여행 짐 당일 배송 서비스 플랫폼 '짐캐리'를 운영하는 기업,series A,비공개,37.4억원,106,"물류물류솔루션, 배송, 배송대행, B2C, 용역, WEB"
버킷플레이스,오늘의집,인테리어 콘텐츠 공유 커뮤니티 및 커머스 플랫폼 '오늘의집'을 운영하는 기업,series D,"3,180.0억원 이상","2,402.1억원",649,"커머스, 소셜미디어/커뮤니티, 홈리빙/펫이커머스, 커뮤니티, 가구, 인테리어, 생활용품/소품"
채널코퍼레이션,채널톡,올인원 비즈니스 메신저 '채널톡'을 운영하는 기업,series C,423.3억원 이상,130.0억원,164,"광고/마케팅, 인사/비즈니스/법률마케팅솔루션, 협업툴/생산성, B2B, 스타트업/창업자"
요헤미티,요헤미티,스포츠 브랜드 '요헤미티'를 운영하는 기업,seed,비공개,15.4억원,7,"커머스, 피트니스/스포츠이커머스, 스포츠/운동, 음료, 플랫폼/마켓플레이스"
메디허브,닥터플렉스,의료자문의 매칭 플랫폼 '닥터플렉스'를 운영하는 기업,비공개,비공개,"7,127.7만원",9,"헬스케어/바이오큐레이션, 바이오/의료, B2B, 플랫폼/마켓플레이스"
에이블리코퍼레이션,에이블리,스타일 커머스 플랫폼 '에이블리'를 운영하는 기업,비공개,"4,230.0억원","2,594.9억원",302,"커머스, 패션이커머스, 리뷰, 의류, 신발, 패션잡화, 쥬얼리, 인공지능"
룩인사이트,약올려,병원도매 및 약국 직거래 플랫폼 '약올려'를 운영하는 기업,비공개,1.0억원 이상,4.5억원,4,"헬스케어/바이오도매, 병원정보, B2B, 플랫폼/마켓플레이스"
바크,바크,리커버리 슬리퍼 브랜드 '바크'를 운영하는 기업,비공개,비공개,6.2억원,7,"커머스, 패션이커머스, 신발, 제조기술, B2C, 상품판매/브랜드/하드웨어"
콘스탄트,리필드,탈모케어 서비스 '리필드'를 운영하는 기업,series A,17.0억원,11.8억원,23,"헬스케어/바이오, 뷰티/화장품디지털헬스케어, 바이오/의료, 의료기기, 디지털치료제"
뤼튼테크놀로지스,뤼튼,"생성 AI 플랫폼 '뤼튼', AI 작문 보조 솔루션 '뤼튼 트레이닝' 등을 운영하는 기업",pre-B,438.0억원 이상,-,101,"콘텐츠/예술, 교육, AI/딥테크/블록체인비대면교육, 인공지능, B2C, 구독, 소프트웨어, 콘텐츠"
바로팜,바로팜,의약품 주문통합 플랫폼 '바로팜'을 운영하는 기업,series B,200.0억원 이상,78.9억원,52,"헬스케어/바이오이커머스, 도매, 바이오/의료"
인테이크,인테이크,"푸드테크 기반 대체단백, 대체당류 식품 개발 및 대체식품 브랜드 '인테이크'를 운영하는 기업",series B,163.0억원,174.3억원,41,"커머스, 푸드/농업이커머스, 유통, 건강기능식품, 간편식/HMR"
해빗팩토리,시그널플래너,AI 기반 보험 분석 서비스 '시그널플래너'를 운영하는 기업,series C,344.0억원,51.2억원,65,"금융/보험/핀테크, AI/딥테크/블록체인보험/인슈어테크, 마이데이터, 인공지능, 빅데이터"
더휴식,더휴식,중소형 숙박업소 대상 솔루션을 운영하는 기업,series B,228.0억원,249.6억원,25,"부동산/건설숙박, 인테리어, 리모델링, 건축, 설계, B2B"
트웰브랩스,마렝고,AI 기반 영상검색 솔루션을 개발하는 기업,series A,"1,061.5억원",54.1억원,39,"콘텐츠/예술, AI/딥테크/블록체인영상/비디오, 인공지능, 자연어처리/텍스트마이닝"
컬리,컬리,신선제품 새벽배송 플랫폼 '컬리'를 운영하는 기업,pre-IPO,1.1조원 이상,2.1조원,2,"커머스, 물류, 푸드/농업이커머스, 라스트마일, 신선식품, B2C, 플랫폼/마켓플레이스"
스플랩,센드타임,스케줄링 자동화 솔루션 '센드타임'을 운영하는 기업,seed,비공개,"3,912.4만원",11,"인사/비즈니스/법률조직관리/조직문화, 협업툴/생산성, 클라우드, B2B"
핀테크,모니,개인 신용 정보 및 마이데이터 서비스 '모니'를 운영하는 기업,series A,20.0억원,34.5억원,24,"금융/보험/핀테크자산관리, 대출, 보험/인슈어테크, 주식/증권, 마이데이터"
마이리얼트립,마이리얼트립,여행상품 중개 플랫폼 '마이리얼트립'을 운영하는 기업,series F,"1,980.0억원 이상",-,253,"여행/레저숙박, 항공권, 여행정보, 레저/액티비티, B2C, 플랫폼/마켓플레이스"
펫팜,펫팜,동물약국 전용 쇼핑몰 '펫팜'을 운영하는 기업,series A,32.0억원 이상,29.3억원,22,"커머스, 헬스케어/바이오, 홈리빙/펫이커머스, 동물병원/수의사, 펫케어/펫테크, B2C"
