,corp_code,corp_name,stock_code
674,00145668,이화공영,1840
262,00145686,이화산업,760
2668,00145738,이화전기,24810
666,00106881,인디에프,14990
483,00269922,인바디,41830
970,00367871,인바이오,352940
2017,00652423,인바이오젠,101140
1127,00537221,인바이츠바이오코아,216400
1130,00409371,인베니아,79950
2236,01516456,인벤티지랩,389470
2520,01243161,인산가,277410
2423,00375931,인선이엔티,60150
2219,00229021,인성정보,33230
2516,01222113,인스웨이브시스템즈,450520
1836,00122825,인스코비,6490
1213,00265421,인지디스플레,37330
332,00641171,인지소프트,100030
2368,00103510,인지컨트롤스,23800
2373,00145862,인천도시가스,34590
1169,01013694,인카금융서비스,211050
2008,00475976,인콘,83640
1036,00819073,인크로스,216050
597,00226866,인탑스,49070
764,00604426,인터로조,119610
149,00145914,인터엠,17250
718,00151368,인터지스,129260
323,00369170,인터플렉스,51370
1479,00479787,인텍플러스,64290
61,00664181,인텔리안테크,189300
1656,00661157,인트로메딕,150840
2122,00292434,인트론바이오,48530
1353,00180795,인팩,23810
256,00491415,인포바인,115310
439,00243757,인포뱅크,39290
533,00435969,인피니트헬스케어,71200
8,00482426,인화정공,101930
2594,01168383,일동제약,249420
2551,00146083,일동홀딩스,230
2080,00146232,일성건설,13360
2552,00146214,일성아이에스,3120
1797,01396676,일승,333430
1459,00385415,일신바이오,68330
310,00146269,일신방직,3200
2683,00146296,일신석재,7110
2620,00146454,일양약품,7570
2413,00923826,일월지엠엘,178780
1301,00146542,일정실업,8500
342,00146560,일지테크,19540
2652,00508274,일진다이아,81000
2492,00198697,일진디스플,20760
232,00683469,일진전기,103590
922,00485177,일진파워,94820
1681,00972503,일진하이솔루스,271940
49,00146649,일진홀딩스,15860
1059,00911955,잇츠한불,226320
1043,01165739,잉글우드랩,950140
1820,00261656,잉크테크,49550
1642,01365038,자람테크놀로지,389020
416,01174038,자비스,254120
1390,00418379,자연과환경,43910
1000,01020524,자이글,234920
200,01264438,자이언트스텝,289220
212,00367844,자이에스앤디,317400
690,00146861,자화전자,33240
2172,00659684,장원테크,174880
839,00147082,재영솔루텍,49630
1699,01383229,저스템,417840
216,00147222,전방,950
144,00632793,전진바이오팜,110020
1682,01047415,정다운,208140
537,00287788,정상제이엘에스,40420
1371,00147772,정원엔시스,45510
545,00666204,제너셈,217190
1107,00545929,제넥신,95700
1943,00408956,제넨바이오,72520
1151,00799539,제노레이,122310
459,01014718,제노코,361390
99,00393618,제노텍,66830
98,00983916,제노포커스,187420
1467,01062177,제놀루션,225220
649,00624998,제닉,123330
1341,00563837,제로투세븐,159580
2611,00899556,제룡산업,147830
719,00185356,제룡전기,33100
280,00442570,제우스,79370
1321,00361381,제이브이엠,54950
1721,00148531,제이스코홀딩스,23440
856,00493185,제이스텍,90470
2100,01267602,제이시스메디칼,287410
2631,00664853,제이씨케미칼,137950
2636,00223513,제이씨현시스템,33320
1041,01367586,제이아이테크,417500
172,01415892,제이알글로벌리츠,348950
2483,00447575,제이앤티씨,204270
270,00332927,제이에스코퍼레이션,194370
1146,00120289,제이에스티나,26040
1241,01309421,제이엔비,452160
2156,00442154,제이엔케이글로벌,126880
522,01153293,제이엘케이,322510
145,01366824,제이엠멀티,254160
2381,00222435,제이엠아이,33050
398,00533508,제이엠티,94970
1488,00411808,제이오,418550
2024,00136776,제이준코스메틱,25620
2635,01553129,제이투케이바이오,420570
1937,00365457,제이티,89790
585,00148276,제일기획,30000
1995,00185505,제일바이오,52670
2596,01236897,제일약품,271980
2215,00528791,제일엠앤에스,412540
837,00148461,제일연마,1560
2029,00148470,제일일렉트릭,199820
245,00148595,제일테크노스,38010
52,00148443,제일파마홀딩스,2620
1900,01230255,제주맥주,276730
1895,00447487,제주반도체,80220
1162,00148832,제주은행,6220
867,00555874,제주항공,89590
1594,01222867,제테마,216080
1800,01051472,젠큐릭스,229000
2429,00492894,젬백스,82270
1719,00291860,조광ILI,44060
274,00148920,조광페인트,4910
56,00148939,조광피혁,4700
447,00148948,조비,1550
